Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
102173,0,Mulberry Bush Playgroup,15/10/2015,Up-to-date,30 June 2018,35789,36112,0,0,0,"Carnmoney Presbyterian Church, 258 Carnmoney Road, Newtownabbey, County Antrim, BT36 6JZ",www.carnmoney.org,mulberrybush258@hotmail.co.uk,02895217950,0,The advancement of education,Preschool (0-5 year olds),Playgroup/after schools,
102174,0,Abaana Ministries,01/07/2015,Up-to-date,31 December 2018,895646,960556,0,0,0,"Abaana, 78 High Street, Bangor, County Down, BT20 5AZ",www.abaana.org,admin@abaana.org,02891451918,33513,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),General public,Homelessness,Preschool (0-5 year olds),Youth (14-25 year olds)","Education/training,General charitable purposes,Grant making,Relief of poverty",
102175,0,Storehouse (Ni),25/08/2015,Up-to-date,31 August 2018,273403,293697,0,0,0,"39 North Street, Belfast, BT1 1NA",www.storehousebelfast.com,info@storehousebelfast.com,02890236333,0,"The prevention or relief of poverty,The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Addictions (drug/solvent/alcohol abuse),Asylum seekers/refugees,Ethnic minorities,Ex-offenders and prisoners,General public,Hiv/aids,Homelessness,Learning disabilities,Men,Mental health,Parents,Physical disabilities,Unemployed/low income,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Education/training,Relief of poverty,Volunteer development",
102176,0,Abundant Life Christian Centre,02/07/2015,Up-to-date,31 March 2019,37259,34802,0,0,0,"19 Hall Road, Coleraine, County Londonderry, BT52 2JQ",www.abundantlifeni.co.uk,,02871302211,0,The advancement of religion,"Addictions (drug/solvent/alcohol abuse),General public,Mental health","Counselling/support,Medical/health/sickness,Religious activities",
102177,0,Cookstown And Magherafelt Volunteer Centre,20/05/2015,Removed,31 March 2020,0,0,0,0,0,"20 Queen Street, Magherafelt, County Londonderry, BT45 6AB",www.cookstownmagherafeltvc.org,info@cookstownmagherafeltvc.org,028 7930 1862,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Learning disabilities,Mental health,Voluntary and community sector,Volunteers","Community development,Education/training,Human rights/equality,Volunteer development",
102178,0,Belfast/Belfast: St. Katharine/St. Katharine/Connor/Church Of Ireland,23/02/2015,Up-to-date,31 December 2018,56437,68205,0,0,0,"St. Katharines Parish Church, 2-4 Dunlambert Park, Belfast, BT15 3NJ",http://www.stkatharinesparishchurch.co.uk/,belfast.stkatharine@connor.anglican.org,02890777647,0,The advancement of religion,General public,Religious activities,
102179,0,Play Resource Warehouse Limited,26/05/2015,Up-to-date,31 March 2019,318492,339228,0,0,0,"Play Resource Warehouse Limited, North City Business Centre, 2 Duncairn Gardens, BT15 2GG",www.playresource.org,admin@playresource.org,02890357547,0,"The advancement of education,The advancement of the arts, culture, heritage or science,The advancement of environmental protection or improvement,Other charitable purposes","Children (5-13 year olds),Preschool (0-5 year olds),Youth (14-25 year olds)","Arts,Education/training,General charitable purposes",
102180,0,"Belfast/Belfast:St.Mark,Ballysillan/St.Mark/Connor/Churchofireland",23/02/2015,Up-to-date,31 December 2019,61044,50603,0,0,0,"6 Springvale Parade, Belfast, BT14 8DB",,,02890 224098,0,The advancement of religion,General public,Religious activities,
102181,0,"Belfast/Belfast:Holy Trinity, St Silas And Ardoyne/Holy Trinity, Joanmount/Connor/Church Of Ireland",23/02/2015,Up-to-date,31 December 2018,63605,56154,0,0,0,"3 Rosscoole Park, Belfast, BT14 8JW",,,07598 124059,0,The advancement of religion,General public,Religious activities,
102182,0,Ballymacrickett Fundraising Committee,08/09/2015,Up-to-date,31 August 2019,12244,12956,0,0,0,"Ballymacrickett Primary School, 41 Scroggy Road, Glenavy, Crumlin, County Antrim, BT29 4NE",www.ballymacrickettprimaryschool.co.uk,,028 9442 2708,0,The advancement of education,"Children (5-13 year olds),Parents,Preschool (0-5 year olds)","Education/training,General charitable purposes",
102183,0,Glenullin And Agivey Conservation And Development Group,20/01/2016,Up-to-date,30 September 2018,4415,3841,0,0,0,"Glenullin Resource Centre, 1 Glenview, Garvagh, Coleraine, County Londonderry, BT51 5DZ",,glenullincommunitybulletin@gmail.com,028 295 57380,0,"The advancement of citizenship or community development,The advancement of environmental protection or improvement","Adult training,Carers,Children (5-13 year olds),Community safety/crime prevention,General public,Older people,Parents,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Arts,Community development,Community enterprise,Cultural,Economic development,Education/training,Environment/sustainable development/conservation,Heritage/historical,Medical/health/sickness,Playgroup/after schools,Research/evaluation,Rural development,Sport/recreation,Volunteer development",
102184,0,Belfast/Belfast: St. Mary & Holy Redeemer/St. Mary/Connor/Church Of Ireland,23/02/2015,Up-to-date,31 December 2018,61791,71871,0,0,0,"9 Sycamore Park, Newtownabbey, County Antrim, BT37 0NR",,,02890869569,0,The advancement of religion,General public,Religious activities,
102185,0,Belfast/Belfast:St.Matthew/St.Matthew/Connor/Church Of Ireland,25/02/2015,Up-to-date,31 December 2018,114873,104336,0,0,0,"51 Ballygomartin Road, Belfast, BT13 3LA",,,028 9071 4325,0,The advancement of religion,General public,Religious activities,
102186,0,Springfield Primary School Playgroup,25/02/2016,Up-to-date,31 March 2019,44276,48586,0,0,0,"2E Lylehill Road East, Templepatrick, BT39 0HQ",www.springfieldprimary.com,springfieldplaygroup2011@hotmail.co.uk,0777 1464242,0,The advancement of education,"Interface communities,Learning disabilities,Parents,Preschool (0-5 year olds),Specific areas of deprivation,Unemployed/low income","Education/training,General charitable purposes,Playgroup/after schools",
102187,0,Dundonald/Dundonald/St.Elizabeth/Down & Dromore/Church Of Ireland,02/03/2015,Up-to-date,31 December 2018,245163,247823,0,0,0,"Church Green, Dundonald, Belfast, BT16 2LP",www.stelizabeths.church,office@stelizabeths.church,02890482644,0,The advancement of religion,General public,Religious activities,
102188,0,Crossroads Care Ni,26/10/2015,Up-to-date,31 March 2019,2303687,2461167,0,0,0,"Crossroads Care Ni, 432 Upper Newtownards Road, Belfast, County Antrim, BT4 3GY",www.crossroadscare.co.uk,mail@crossroadscare.co.uk,02890653080,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Carers,Children (5-13 year olds),Learning disabilities,Mental health,Older people,Parents,Physical disabilities,Sensory disabilities,Volunteers,Youth (14-25 year olds)","Counselling/support,Disability,Medical/health/sickness,Volunteer development,Youth development",
102189,0,Training For Women Network Ltd,27/05/2015,Up-to-date,31 March 2019,1242073,1236164,0,0,0,"Training For Women Network Ltd, Ground Floor, Suite 2, Elizabeth House, 116-118 Holywood Road, Belfast, BT4 1NY",www.twnonline.com,info@twnonline.com,02890 319888,0,"The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Adult training,Ethnic minorities,Interface communities,Older people,Specific areas of deprivation,Voluntary and community sector,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Cross-border/cross-community,Education/training,Human rights/equality,Research/evaluation",
102190,0,Gracehill Old School Trust,12/08/2015,Up-to-date,31 March 2019,82005,69916,0,0,0,"6 Parkmore Heights, Ballymena, BT43 5DB",www.gracehillvillage.org,christiecolhoun@gmail.com,(028) 2558 2585,0,The advancement of environmental protection or improvement,General public,"Environment/sustainable development/conservation,Heritage/historical",
102191,0,St Matthews Housing Association Ltd.,03/06/2015,Up-to-date,31 March 2019,1302933,857016,0,0,0,"58 Harper Street, Short Strand, Belfast, BT5 4EN",www.smha.co.uk,office@smha.co.uk,02890451070,0,"The prevention or relief of poverty,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Homelessness,Older people,Physical disabilities,Tenants,Unemployed/low income","Accommodation/housing,Advice/advocacy/information",
102192,0,Cloughmills Early Years,02/06/2015,Up-to-date,31 August 2018,50770,48008,0,0,0,"7 Mill Race, Raceview Road, Broughshane, Ballymena, County Antrim, BT42 4HY",,cloughmillsearlyyears@hotmail.co.uk,07453630403,0,The advancement of education,Preschool (0-5 year olds),Playgroup/after schools,
102193,0,Taylors Avenue Community Regeneration Partnership,21/05/2015,Up-to-date,31 March 2019,0,0,0,0,0,"2 Glenfall Mews, Gleno, Larne, County Antrim, BT40 3FD",https://www.facebook.com/pages/taylors-avenue-community-regeneration-partnership/401414946688969?sk=info&tab=page_info,tacrp2014@gmail.com,02893329980,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of amateur sport,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Adult training,Children (5-13 year olds),Men,Older people,Parents,Sensory disabilities,Unemployed/low income,Women,Youth (14-25 year olds)","General charitable purposes,Sport/recreation,Youth development",
102194,0,Teconnaught Cross Community Pre School,24/05/2016,Up-to-date,31 August 2018,62609,61803,0,0,0,"62 The Craig Road, Downpatrick, BT30 9BG",,teconnaught@playgroup.plus.com,02844832161,0,The advancement of education,"Parents,Preschool (0-5 year olds),Youth (14-25 year olds)","Education/training,Playgroup/after schools,Youth development",
102197,0,Centre For Cross Border Studies,25/09/2015,Up-to-date,31 July 2019,482586,618800,0,0,0,"39 Abbey Street, Armagh, County Armagh, BT61 7EB",www.crossborder.ie,crossborder@qub.ac.uk,028 3751 1550,0,The advancement of education,General public,"Advice/advocacy/information,Cross-border/cross-community,Education/training,Heritage/historical,Research/evaluation",
102198,0,Whitehead Storehouse,08/11/2016,Up-to-date,31 October 2018,450,171,0,0,0,"2A Balmoral Avenue, Whithead, Carrickfergus, BT38 9QA",,,028 93 038362,0,"The prevention or relief of poverty,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Homelessness,Older people,Unemployed/low income","Community development,Relief of poverty",
102199,0,Ardoyne Youth Club,08/04/2015,In default,31 March 2018,337666,303407,0,0,0,"Ardoyne Youth Club, Old Beltex Mill, 11B Flax Street, Belfast, BT14 7EJ",www.ardoyneyc.com,thomas.turley@ardoyneyc.com,07796588955,0,"The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Community safety/crime prevention,Interface communities,Voluntary and community sector,Youth (14-25 year olds)","Community development,Cross-border/cross-community,Education/training,Sport/recreation,Volunteer development,Youth development",
102200,0,Antrim Youth Information And Counselling Centre,20/04/2015,Up-to-date,31 March 2019,120461,119747,0,0,0,"10A High Street, Antrim, BT41 4AN",www.ayicc.co.uk,antrimcc@btconnect.com,02894429844,0,The advancement of health or the saving of lives,"Addictions (drug/solvent/alcohol abuse),Children (5-13 year olds),General public,Parents,Youth (14-25 year olds)","Advice/advocacy/information,Counselling/support,Education/training,Youth development",
102201,0,Genderjam Ni,27/04/2016,Up-to-date,31 March 2019,12988,2312,0,0,0,"Genderjam Ni, Belfast Trans Resource Centre, 98 University Street, Belfast, BT7 1HE",http://www.genderjam.org.uk,info@genderjam.org.uk,02890996819,0,"The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),General public,Homelessness,Men,Mental health,Parents,Sexual orientation,Voluntary and community sector,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Cross-border/cross-community,Education/training,Gender,Medical/health/sickness,Research/evaluation,Volunteer development,Youth development",
102202,0,Springfield Charitable Association Limited,19/06/2015,Up-to-date,31 March 2019,1105787,417695,0,0,0,"Springfield Charitable Association, 27 Clonard Crescent, Belfast, BT13 2QN",www.scaltd.net,info@scaltd.net,028 9026 9972,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Older people,Voluntary and community sector,Volunteers","Advice/advocacy/information,Community development,Disability,General charitable purposes,Grant making,Relief of poverty,Volunteer development",
102203,0,Social Foundry Ltd,23/05/2016,Removed,31 December 2020,0,0,0,0,0,"5 Laurelbank Road, Saintfield, Ballynahinch, County Down, BT24 7LT",,paul@socialfoundry.org,07759114575,0,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Ex-offenders and prisoners,Parents,Youth (14-25 year olds)","Community enterprise,Counselling/support,Criminal justice,Education/training,Relief of poverty,Youth development",
102205,0,Trial Of Lundy Limited,27/03/2015,Up-to-date,31 March 2019,110,9016,0,0,0,"13 Glenabbey Cottages, Upper Galliagh Road, Londonderry, BT48 8LP",www.thetrialoflundy.com,margo@besomproductions.co.uk,+44 (0) 2871309243,0,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","General public,Interface communities,Men,Voluntary and community sector,Women","Arts,Community development,Cross-border/cross-community,Cultural,Education/training,Heritage/historical,Human rights/equality,Research/evaluation",
102206,0,St Brigid's Play School Mountfield,23/04/2015,Due documents received late,31 August 2018,45109,33497,0,0,0,"Mountfield Primary School, 4 Lenagh Road, Omagh, County Tyrone, BT79 7PT",,info@stbrigidsps.mountfield.ni.sch.uk,02880771327,0,"The advancement of education,The advancement of citizenship or community development","Parents,Preschool (0-5 year olds),Voluntary and community sector","Community development,Education/training,Playgroup/after schools",
102207,0,Luke Hope For Life,13/05/2015,In default,13 January 2020,0,0,0,0,0,"3 Crom Lane, Newtownbulter, Enniskillen, Newtownbutler, BT92 8FL",,,07590663502,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",General public,"Advice/advocacy/information,Education/training,Sport/recreation,Volunteer development",
102208,0,Romanian Appeal Helpline Limited,20/07/2015,Up-to-date,31 December 2018,0,858,0,0,0,"28 Castlewellan Road, Clough, Downpatrick, County Down, BT30 8RD",,,07969088034,0,"The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Homelessness,Mental health,Overseas/developing countries,Physical disabilities,Specific areas of deprivation","Accommodation/housing,Advice/advocacy/information,Community development,Disability,Human rights/equality,Medical/health/sickness,Overseas aid/famine relief,Relief of poverty",
102209,0,Donaghcloney Rural Needs Development Group,04/04/2016,In default,30 September 2020,0,0,0,0,0,"24 The Poplars, Donaghcloney, Craigavon, County Armagh, BT66 7LG",,donaghcloneyruralneeds@yahoo.co.uk,07788 146481,0,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","Adult training,Children (5-13 year olds),General public,Men,Older people,Preschool (0-5 year olds),Volunteers,Women,Youth (14-25 year olds)","Arts,Education/training,Playgroup/after schools,Rural development,Volunteer development,Youth development",
102210,0,Lucy's Trust,01/08/2016,Up-to-date,31 October 2018,17203,21507,0,0,0,"C/O Rob Durston Photography, 81-129 Springfield Road, 3Rd Floor, Belfast, BT12 7AE",www.facebook.com/lucystrust,lucystrust@yahoo.co.uk,07936 575706,0,"The advancement of education,The advancement of animal welfare",General public,"Animal welfare,Education/training",
102211,0,Global Reconciliation Projects,27/04/2015,Removed,31 March 2020,0,0,0,0,0,"19 Prospect Link, Carrickfergus, County Antrim, BT38 8QT",www.globalrp.org.uk,georgemcgrand@gmail.com,028 9336 5342,0,"The prevention or relief of poverty,The advancement of education,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Overseas/developing countries,"Economic development,Grant making",
102212,0,All Set Cross Cultural Project,22/06/2015,Up-to-date,05 April 2019,84361,83248,0,0,0,"38 Milltown Lane, Portadown, Craigavon, County Armagh, BT62 1TB",www.fasttrad.uk,allset@btinternet.com,028 38852469,0,"The advancement of education,The advancement of the arts, culture, heritage or science","Children (5-13 year olds),Ethnic minorities,General public,Interface communities,Learning disabilities,Men,Older people,Parents,Specific areas of deprivation,Unemployed/low income,Women,Youth (14-25 year olds)","Arts,Cross-border/cross-community,Cultural,Disability",
102213,0,The Secret Garden (Hillsborough) Ltd,25/11/2015,Up-to-date,31 March 2019,0,0,0,0,0,"Praxis Care, 25-31 Lisburn Road, Belfast, BT9 7AA",www.praxiscare.org.uk,info@praxiscare.org.uk,028 9023 4555,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Learning disabilities,Mental health","Advice/advocacy/information,Education/training,Medical/health/sickness,Volunteer development",
102214,0,County Armagh Phoenix Group Ltd,15/09/2015,Up-to-date,31 March 2019,58715,90752,0,0,0,"3 Mallview Terrace, Armagh, BT61 9AN",www.capg.org.uk,capg@btinternet.com,07966575946,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,Other charitable purposes","Adult training,Men,Older people,Victim support,Women","Education/training,Heritage/historical,Medical/health/sickness",
102215,0,Kilrea Enterprise Group Limited,30/06/2015,Up-to-date,31 March 2019,6831,1266,0,0,0,"33 New Row, Kilrea, Coleraine, County Londonderry, BT51 5TA",,,028 29540645,0,"The advancement of education,The advancement of citizenship or community development","Adult training,General public,Unemployed/low income","Community development,Community enterprise,Economic development,Education/training,Environment/sustainable development/conservation,Grant making,Heritage/historical,Relief of poverty,Rural development,Sport/recreation",
102216,0,Irish Street Youth And Community Association,22/09/2015,Removed,12 November 2017,106959,90671,0,0,0,"19 Bann Drive, Londonderry, BT47 2HJ",,irishstreetcc@hotmail.co.uk,02871318357,0,"The prevention or relief of poverty,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Community safety/crime prevention,Interface communities,Men,Older people,Preschool (0-5 year olds),Specific areas of deprivation,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Education/training,Medical/health/sickness,Relief of poverty,Volunteer development,Youth development",
102217,0,Ulster Historic Churches Trust,24/06/2015,Up-to-date,31 October 2019,32,263,0,0,0,"146 Marlacoo Road, Portadown, Craigavon, BT62 3TD",www.ulsterhistoricchurches.org,mail@ulsterhistoricchurches.org,02838871238,0,"The advancement of education,The advancement of the arts, culture, heritage or science,The advancement of environmental protection or improvement","General public,Voluntary and community sector,Volunteers","Advice/advocacy/information,Environment/sustainable development/conservation,Heritage/historical,Research/evaluation",
102218,0,Tipsa,05/06/2015,Removed,31 March 2020,0,0,0,0,0,"5C Cloghogue Road, Toomebridge, Antrim, BT41 3PW",www.tipsa.co.uk,info@cookstownhelp.com,028 7965 9989,0,"The advancement of education,The advancement of health or the saving of lives","Community safety/crime prevention,Volunteers","Advice/advocacy/information,Volunteer development",
102219,0,Clady Cross Community Development Association,07/07/2015,Up-to-date,01 April 2019,0,0,0,0,0,"1 Bellscourt, Strabane, BT82 9FP",,cladycrosscommunity@gmail.com,07858748890,0,"The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of environmental protection or improvement","General public,Unemployed/low income","Community development,Cross-border/cross-community,Rural development",
102220,0,Real Hope Limited,29/06/2015,Up-to-date,31 October 2018,19853,22770,0,0,0,"63 Old Ballyrobin Road, Muckamore, Antrim, BT41 4TJ",www.realhope.uk,info@realhope.uk,07770941295,0,"The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Men,Youth (14-25 year olds)","Accommodation/housing,Education/training",
102221,0,Drumgor Detached Youth Work Project,12/11/2015,Up-to-date,31 March 2019,162344,136953,0,0,0,"Unit 20, Cido Business Park, Lurgan, Craigavon, BT66 6HG",,coordinator@ddywp.co.uk,07889631944,0,"The advancement of education,The advancement of citizenship or community development","Addictions (drug/solvent/alcohol abuse),Children (5-13 year olds),Community safety/crime prevention,General public,Mental health,Specific areas of deprivation,Voluntary and community sector,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Criminal justice,Education/training,General charitable purposes,Volunteer development,Youth development",
102222,0,The 1608 Royal Schools (Ireland) Trust,07/06/2016,Removed,25 September 2018,0,5937,0,0,0,"College Hill, Armagh, BT61 9DH",,info@royalschool.com,028 3752 2807,68785,The advancement of education,"Children (5-13 year olds),Youth (14-25 year olds)","Cross-border/cross-community,Education/training",
102223,0,Gilford Community Club,25/07/2016,Up-to-date,31 March 2019,3770,2912,0,0,0,"Gilford Community Club, Castle Hill, Craigavon, BT63 6HH",,gilfordcommunityclub@gmail.com,02838831665,0,Other charitable purposes,"General public,Men,Older people,Parents,Voluntary and community sector,Women,Youth (14-25 year olds)","Arts,Community development,Cross-border/cross-community,Cultural,Gender,Religious activities,Rural development,Sport/recreation,Volunteer development,Welfare/benevolent,Youth development",
102224,0,Antrim Happy Hearts,31/03/2015,Removed,31 December 2016,4241,4810,0,0,0,"Antrim Happy Hearts, 22 Market Square, Antrim, BT41 4AW",,antrimhappyhearts@outlook.com,028 9446 5783,0,"The advancement of education,The advancement of health or the saving of lives,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage",Older people,"Advice/advocacy/information,Education/training,General charitable purposes",
102225,0,Corpus Christi Youth Centre,10/06/2016,Up-to-date,31 March 2019,280042,288959,0,0,0,"Corpus Christi Youth Club, 15B Ballymurphy Road, Belfast, BT12 7JL",www.corpuschristiyouthcentre.org.uk,corpuschristiyouthcentre@outlook.com,02890330246,0,"The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),Voluntary and community sector,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Counselling/support,Education/training,Playgroup/after schools,Sport/recreation,Volunteer development,Youth development",
102226,0,Kinallen Rural Community Development Association,05/06/2015,Up-to-date,31 January 2020,7202,5007,0,0,0,"Kinallen Hall, Skeagh Road, Kinallen, County Down, BT25 2QE",,krcdagroup@outlook.com,028 9753 3352,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),Community safety/crime prevention,Men,Older people,Women","Community development,Cross-border/cross-community,Education/training,Rural development,Youth development",
102227,0,Banbridge Amateur Boxing Club,08/06/2015,In default,31 March 2018,17283,9377,0,0,0,"4A Kiln Lane, Havelock Park, Banbridge, County Down, BT32 4PD",,anne.drumhorc@btconnect.com,02838 831151,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of amateur sport","Children (5-13 year olds),Men,Volunteers,Women","Community development,General charitable purposes,Volunteer development,Youth development",
102228,0,Threefoldcord,20/07/2015,Up-to-date,30 June 2019,14181,13563,0,0,0,"Ballyhenry House, 3 Lough Shore Road, Portaferry, Newtownards, Co Down, BT22 1PD",www.threefoldcord.info,irishprophet@hotmail.com,07730745992,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The advancement of health or the saving of lives,The advancement of citizenship or community development","Addictions (drug/solvent/alcohol abuse),Adult training,General public,Interface communities,Men,Older people,Overseas/developing countries,Parents,Physical disabilities,Women","Arts,Counselling/support,Cross-border/cross-community,Cultural,Education/training,Grant making,Overseas aid/famine relief,Religious activities",
102229,0,The General Service Mission,01/12/2015,Up-to-date,15 August 2019,1575,2588,0,0,0,"12 Kitson Gardens, Stretham, 12 Kitson Gardens, Stretham, CB6 3XR",,,07817592935,0,The advancement of religion,"Children (5-13 year olds),Volunteers,Youth (14-25 year olds)",Accommodation/housing,
102233,0,Fellowship Of Good Counsel Trust Londonderry,06/05/2015,Up-to-date,31 March 2019,29685,40768,0,0,0,"16 Cashelmore Park, Londonderry, BT48 0RU",www.columbacommunity.com,columbacommunity@hotmail.com,02871262008,0,"The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Addictions (drug/solvent/alcohol abuse),Children (5-13 year olds),General public,Men,Older people,Women,Youth (14-25 year olds)","Counselling/support,Education/training,General charitable purposes,Religious activities,Volunteer development,Youth development",
102234,0,Cairde Na Gaelscoile,05/10/2015,Up-to-date,31 March 2019,22120,20305,0,0,0,"Gaelscoil Éadain Mhóir, 128 Lecky Road, Derry, BT48 6NP",www.gaelscoileadainmhoir.com,info@gaelscoileadainmhoir.com,02871268020,0,The advancement of education,"Children (5-13 year olds),General public,Language community,Preschool (0-5 year olds)","Community development,Education/training",
102235,0,The Real Disability Network Ltd,05/10/2015,Up-to-date,01 March 2019,0,4417,0,0,0,"C/O Disability Action, Portside Business Park, 189 Airport Road West, Belfast, BT3 9ED",www.realnetworkni.com,realnetworkni@gmail.com,07525258679,629626,"The advancement of education,The advancement of citizenship or community development,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity","Community safety/crime prevention,Learning disabilities,Mental health,Physical disabilities,Sensory disabilities,Voluntary and community sector","Advice/advocacy/information,Disability,Education/training,General charitable purposes,Human rights/equality,Research/evaluation,Volunteer development",
102236,0,The Congregation Of Christian Brothers In Northern Ireland,22/04/2015,Up-to-date,31 August 2018,724596,1428145,0,0,0,"Westcourt Centre, 8-30 Barrack Street, Belfast, BT12 4AH",,,02890611343,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Addictions (drug/solvent/alcohol abuse),Adult training,Children (5-13 year olds),Homelessness,Overseas/developing countries,Youth (14-25 year olds)","Cross-border/cross-community,Education/training,Overseas aid/famine relief,Relief of poverty,Religious activities,Youth development",
102237,0,Greenlight Gateway,09/02/2016,Removed,31 March 2019,129896,172813,0,0,0,"Space 2 Grow Garden Centre, Causeway Enterprise Centre, 61 Leyland Road, Ballycastle, County Antrim, BT54 6EZ",www.greenlightgateway.com,greenlightgateway@hotmail.com,07742794956,65605,"The advancement of education,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Children (5-13 year olds),Learning disabilities,Physical disabilities,Sensory disabilities,Youth (14-25 year olds)","Advice/advocacy/information,Community enterprise,Disability,Education/training,Youth development",
102241,0,Artworks Ni,05/10/2015,Due documents received late,31 December 2018,200,292,0,0,0,"29 Raceview Road, Broughshane, Ballymena, County Antrim, BT42 4JJ",www.artworksni.org,info@artworksni.org,07884362339,0,"The advancement of education,The advancement of the arts, culture, heritage or science","General public,Youth (14-25 year olds)","Arts,Cultural,Heritage/historical",
102242,0,Gortnaghey Community Association,06/07/2015,Up-to-date,28 February 2019,285135,73526,0,0,0,"81 Gortnahey Road, Dungiven, Londonderry, BT47 4PZ",,gortnagheycc@hotmail.co.uk,02877742958,0,"The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Children (5-13 year olds),Men,Older people,Parents,Unemployed/low income,Voluntary and community sector,Volunteers,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Cross-border/cross-community,Cultural,Economic development,Education/training,General charitable purposes,Sport/recreation,Volunteer development,Youth development",
